#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
1167	M+H	N/A	1	Vorinostat	Isolated	Ed Esquenazi 	0.0	spectra/specs_ms.pklbin1167	N/A	N/A	qTof	Positive	LC-ESI	265.156	lib-00007.mgf	Bronze	3	0.725412	7.59613	0.00201416	1	GNPS-SELLECKCHEM-FDA-PART1	Sirenas	265.156	N/A	150.681	4	N/A	0	265.154	spectra/specs_ms.pklbin	CCMSLIB00000006062	4186.71	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1169	M+H	N/A	1	Vorinostat	Isolated	Ed Esquenazi 	0.0	spectra/specs_ms.pklbin1169	N/A	N/A	qTof	Positive	LC-ESI	265.156	lib-00007.mgf	Bronze	3	0.779051	7.59613	0.00201416	1	GNPS-SELLECKCHEM-FDA-PART1	Sirenas	265.156	N/A	158.673	4	N/A	0	265.154	spectra/specs_ms.pklbin	CCMSLIB00000006062	2707.02	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1359	[M+H]+	50-48-6	1	Massbank:FIO00476 Amitryptiline	Isolated	Massbank	0.0	spectra/specs_ms.pklbin1359	1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	N/A	LC-ESI-QTOF	Positive	ESI	278.191	lib-00003.mgf	Bronze	3	0.908731	3.6201	0.00100708	1	MASSBANK	Putative Massbank Match	278.191	N/A	297.924	10	CN(C)CCC=C(c21)c(c3)c(ccc3)CCc(cccc2)1	0	278.19	spectra/specs_ms.pklbin	CCMSLIB00000214324	48604.8	UPDATE-SINGLE-ANNOTATED-BRONZE	drug[Chemical Family]
141	M+H-H2O	832973	1	Spectral Match to DL-Indole-3-lactic acid from NIST14	Isolated	Data deposited by quinnr	0.0	spectra/specs_ms.pklbin141	N/A	N/A	qTof	Positive	LC-ESI	188.07	lib-00030.mgf	Bronze	3	0.977073	0	0	1	GNPS-NIST14-MATCHES	Data from Dorrestein	188.07	N/A	75.064	6	C1=CC=C2C(=C1)C(=CN2)CC(=O)O	0	188.07	spectra/specs_ms.pklbin	CCMSLIB00003135135	12448.5	UPDATE-SINGLE-ANNOTATED-BRONZE	 
142	M+H-H2O	832973	1	Spectral Match to DL-Indole-3-lactic acid from NIST14	Isolated	Data deposited by quinnr	0.0	spectra/specs_ms.pklbin142	N/A	N/A	qTof	Positive	LC-ESI	188.07	lib-00030.mgf	Bronze	3	0.925935	5.27368	0.000991821	1	GNPS-NIST14-MATCHES	Data from Dorrestein	188.07	N/A	90.497	6	C1=CC=C2C(=C1)C(=CN2)CC(=O)O	0	188.071	spectra/specs_ms.pklbin	CCMSLIB00003135135	3670.15	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1454	M+H	N/A	1	Spectral Match to Phe-Ile from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.pklbin1454	N/A	N/A	Q-TOF	Positive	ESI	279.169	lib-00030.mgf	Bronze	3	0.816746	10.7129	0.00299072	1	GNPS-NIST14-MATCHES	Data from Suryasarathi Dasgupta	279.169	N/A	100.555	4	N/A	0	279.172	spectra/specs_ms.pklbin	CCMSLIB00003138631	5021.68	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1457	M+H	N/A	1	Spectral Match to Phe-Ile from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.pklbin1457	N/A	N/A	Q-TOF	Positive	ESI	279.169	lib-00030.mgf	Bronze	3	0.879629	3.60742	0.00100708	1	GNPS-NIST14-MATCHES	Data from Suryasarathi Dasgupta	279.169	N/A	189.171	4	N/A	0	279.17	spectra/specs_ms.pklbin	CCMSLIB00003138631	6261.04	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1701	M+H	 	1	C17-Sphinganine	Lysate	Quinn	287.481	spectra/specs_ms.pklbin1701	 	 	qTof	Positive	LC-ESI	288.291	lib-00012.mgf	Bronze	3	0.755189	3.38742	0.000976562	1	GNPS-LIBRARY	Dorrestein	288.291	3247037	341.019	7	CCCCCCCCCCCCCCC(C(CO)N)O	0	288.29	spectra/specs_ms.pklbin	CCMSLIB00000579284	4376.79	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1736	[M+H]+	738-70-5	1	Massbank:EA019912 Trimethoprim|2,4-Diamino-5-(3,4,5-trimethoxybenzyl)pyrimidine|5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine	Isolated	Massbank	0.0	spectra/specs_ms.pklbin1736	1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)	N/A	LC-ESI-ITFT	Positive	ESI	291.145	lib-00003.mgf	Bronze	3	0.906681	3.45903	0.00100708	1	MASSBANK	Putative Massbank Match	291.145	N/A	66.505	10	c1(Cc2c(nc(N)nc2)N)cc(c(OC)c(c1)OC)OC	0	291.146	spectra/specs_ms.pklbin	CCMSLIB00000207451	20580.5	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1810	M+2H	117693-41-1	2	Descladinose Azithromycin	Crude	Neha	590.414	spectra/specs_ms.pklbin1810	InChI=1S/C30H58N2O9/c1-12-22-30(8,38)25(35)20(6)32(11)15-16(2)14-29(7,37)26(18(4)23(33)19(5)27(36)40-22)41-28-24(34)21(31(9)10)13-17(3)39-28/h16-26,28,33-35,37-38H,12-15H2,1-11H3/t16-,17?,18+,19-,20-,21?,22-,23+,24?,25-,26-,28+,29-,30-/m1/s1	 PXDYILJJHOVNLO-BGOBXLIHSA-N	qTof	Positive	LC-ESI	296.2	lib-00012.mgf	Bronze	3	0.721978	47.1879	295.179	1	GNPS-LIBRARY	Pieter C Dorrestein	296.2	 	170.788	15	CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2OC(C)CC(C2O)N(C)C)[C@](C[C@H](CN([C@@H]([C@H]([C@]1(C)O)O)C)C)C)(C)O	0	296.214	spectra/specs_ms.pklbin	CCMSLIB00000424801	6001.57	UPDATE-SINGLE-ANNOTATED-BRONZE	Antibiotic[Drug Class]
