ATTRIBUTE_ExerciceFrequency	ATTRIBUTE_FermentedPlantFrequency	ATTRIBUTE_Probiotic_frequence	ATTRIBUTE_SampleType	ATTRIBUTE_TypesOfPlants	G1	G2	G3	G4	G5	G6	GNPSGROUP:	GNPSGROUP:11_to_20	GNPSGROUP:21_to_30	GNPSGROUP:6_to_10	GNPSGROUP:BLANK	GNPSGROUP:Daily	GNPSGROUP:Less_than_5	GNPSGROUP:More_than_30	GNPSGROUP:Never	GNPSGROUP:Occasionally	GNPSGROUP:Rarely	GNPSGROUP:Rarely (less than once/week)	GNPSGROUP:Regularly	GNPSGROUP:SAMPLE	GNPSGROUP:SOLVENT_BLANK	GNPSGROUP:SWAB_BLANK	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	SpectrumID	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
Daily,Regularly,,Never,Occasionally,Rarely	,Regularly,Daily,Rarely (less than once/week),Never,Occasionally	,Regularly,Daily,Never,Occasionally,Rarely	SAMPLE	,More_than_30,Less_than_5	0.0	0.0	0.0	0.0	0.0	0.0	1226254.2297586189	0.0	0.0	0.0	0.0	996464.9503999944	1140040.2304999982	1321979.008999997	1209682.9356666638	1099289.531999999	1342898.3704999976	1368570.2606666645	1433069.4022222196	1231009.6197499977	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"1","main.cluster index_upperinput":"1"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=343&task=b817262cb6114e7295fee4f73b22a3ad	N/A	N/A	10.2450	0	0	N/A	19	1	343	19	108.5179	0	108.5179	27082211.634499952
Daily,Regularly,,Never,Occasionally,Rarely	,Regularly,Daily,Rarely (less than once/week),Never,Occasionally	,Regularly,Daily,Never,Occasionally,Rarely	SAMPLE	,More_than_30,Less_than_5	0.0	0.0	0.0	0.0	0.0	0.0	787478.3015689643	0.0	0.0	0.0	0.0	687898.195499997	756971.0789545443	813678.9730454528	782197.3402499981	743089.0940499993	764305.2439999992	823570.2563333322	858365.358777776	785325.0259999986	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	N/A	N/A	10.2453	0	0	N/A	22	2	-1	22	184.9856	0	184.9856	17277150.57199997
Daily,Regularly,,Never,Occasionally,Rarely	,Regularly,Daily,Rarely (less than once/week),Never,Occasionally	,Regularly,Daily,Never,Occasionally,Rarely	SAMPLE	,More_than_30,Less_than_5	0.0	0.0	0.0	0.0	0.0	0.0	699894.6751206885	0.0	0.0	0.0	0.0	555034.8792999967	647766.8877727261	740651.508136362	667441.3616666647	624964.0272999993	727123.4859999989	753543.0311666653	804779.6637777763	694209.1979545441	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=343&task=b817262cb6114e7295fee4f73b22a3ad	N/A	N/A	10.2443	0	0	N/A	20	3	343	20	99.5130	0	99.5130	15272602.354999973
Daily,Regularly,,Never,Occasionally,Rarely	,Regularly,Daily,Rarely (less than once/week),Never,Occasionally	,Regularly,Daily,Never,Occasionally,Rarely	SAMPLE	,More_than_30,Less_than_5	0.0	0.0	0.0	0.0	0.0	0.0	3102207.24487931	0.0	0.0	0.0	0.0	2778803.9159000013	2603878.7546363627	3262235.7076363647	2554173.4896666687	2634777.2272499995	2419853.5005000005	2699827.2393333334	3270235.2696666676	2933057.231136364	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	N/A	N/A	10.4565	0	0	N/A	22	4	-1	22	176.9720	0	176.9720	64527259.08499999
Daily,Regularly,,Never,Occasionally,Rarely	,Regularly,Daily,Rarely (less than once/week),Never,Occasionally	,Regularly,Daily,Never,Occasionally,Rarely	SAMPLE	,More_than_30,Less_than_5	0.0	0.0	0.0	0.0	0.0	0.0	2885017.238051724	0.0	0.0	0.0	0.0	2474278.758300001	2702739.4322727276	3029231.647681819	2832668.437333335	2616117.53795	2746261.2350000003	2997759.1949166674	3247572.170611113	2865985.5399772734	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"6","main.cluster index_upperinput":"6"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=174&task=b817262cb6114e7295fee4f73b22a3ad	N/A	N/A	10.4708	0	0	N/A	22	6	174	22	186.9564	0	186.9564	63051681.87950002
Daily,Regularly,,Never,Occasionally,Rarely	,Regularly,Daily,Rarely (less than once/week),Never,Occasionally	,Regularly,Daily,Never,Occasionally,Rarely	SAMPLE	,More_than_30,Less_than_5	0.0	0.0	0.0	0.0	0.0	0.0	653347.6233965515	0.0	0.0	0.0	0.0	583072.0809000018	589098.2503181809	715072.2107727281	608782.6500833342	560768.0029499999	794760.3464999987	710735.1503333328	761737.3949444441	652085.2305454545	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	N/A	N/A	12.7905	0	0	N/A	19	7	-1	19	108.5179	0	108.5179	14345875.071999999
Daily,Regularly,,Never,Occasionally,Rarely	,Regularly,Daily,Rarely (less than once/week),Never,Occasionally	,Regularly,Daily,Never,Occasionally,Rarely	SAMPLE	,More_than_30,Less_than_5	0.0	0.0	0.0	0.0	0.0	0.0	1209168.5248275825	0.0	0.0	0.0	0.0	468239.47899999877	1270392.9925909073	773694.1055909062	488887.6519166656	806519.5724999957	1522168.9885000105	795742.4854166673	1416960.4541666664	1022043.5490909067	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"8","main.cluster index_upperinput":"8"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=223&task=b817262cb6114e7295fee4f73b22a3ad	Spectral Match to (+)-4-Cholesten-3-one from NIST14	0.967153	8.7025	0	0	CCMSLIB00003137024	22	8	223	22	385.3466	0	385.3466	22484958.079999946
Daily,Regularly,,Never,Occasionally,Rarely	,Regularly,Daily,Rarely (less than once/week),Never,Occasionally	,Regularly,Daily,Never,Occasionally,Rarely	SAMPLE	,More_than_30,Less_than_5	0.0	0.0	0.0	0.0	0.0	0.0	2374716.105120689	0.0	0.0	0.0	0.0	2247281.734900001	1988814.159136363	2505253.8637727275	1926296.0517499999	2115620.087449999	1867941.194000002	2089075.806166666	2342743.9796666666	2247034.0114545454	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"11","main.cluster index_upperinput":"11"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"11","main.cluster index_upperinput":"11"}	N/A	N/A	10.4736	0	0	N/A	22	11	-1	22	204.9669	0	204.9669	49434748.25199999
Daily,Regularly,,Never,Occasionally,Rarely	,Regularly,Daily,Rarely (less than once/week),Never,Occasionally	,Regularly,Daily,Never,Occasionally,Rarely	SAMPLE	,More_than_30,Less_than_5	0.0	0.0	0.0	0.0	0.0	0.0	706089.5179999999	0.0	0.0	0.0	0.0	789777.3373999976	414175.11722727236	844408.3266363636	451879.20858333283	413980.1330000002	422690.5625000011	429330.77383333346	806446.5723888889	629291.7219318179	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"13","main.cluster index_upperinput":"13"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=101&task=b817262cb6114e7295fee4f73b22a3ad	Spectral Match to 13-Docosenamide, (Z)- from NIST14	0.903981	7.3855	0	0	CCMSLIB00003139543	22	13	101	22	338.3419	0	338.3419	13844417.882499993
Daily,Regularly,,Never,Occasionally,Rarely	,Regularly,Daily,Rarely (less than once/week),Never,Occasionally	,Regularly,Daily,Never,Occasionally,Rarely	SAMPLE	,More_than_30,Less_than_5	0.0	0.0	0.0	0.0	0.0	0.0	148061.36793103497	0.0	0.0	0.0	0.0	77333.35039999984	178457.2730909097	69276.05768181842	41736.65999999988	43441.69205000027	327756.8435000031	64140.57125000047	233035.1491111119	123866.66538636407	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b817262cb6114e7295fee4f73b22a3ad&view=view_all_clusters_withID#{"main.cluster index_lowerinput":"16","main.cluster index_upperinput":"16"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=223&task=b817262cb6114e7295fee4f73b22a3ad	N/A	N/A	9.1967	0	0	N/A	21	16	223	21	413.3782	0	413.3782	2725066.6385000097
