CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
632	2706	1	0.9542	0.000
704	4778	2	0.9458	-0.000
704	6480	2	0.9315	-0.001
6480	7674	2	0.9171	-0.000
704	2760	2	1.0	0.000
4778	6480	2	0.9361	-0.001
2760	6480	2	0.9315	-0.001
2760	4778	2	0.9458	-0.000
3540	6480	2	0.9145	0.000
3551	6488	5	1.0	0.000
115	1167	5	0.8916	-28.032
1116	7373	5	0.9225	-28.031
1052	2994	5	0.9079	-28.031
3297	3551	5	0.9069	-0.000
115	778	5	0.9124	-28.032
6488	7505	5	0.8848	28.031
1971	7671	5	0.8336	280.240
503	778	5	0.9186	0.000
115	2994	5	0.9008	28.031
1167	3297	5	0.8815	28.031
536	1167	5	0.9246	0.000
1082	7671	5	0.8776	0.000
536	778	5	0.9186	0.000
2616	7505	5	0.887	14.016
1116	2616	5	0.8763	-14.016
328	7671	5	0.8143	2.016
2994	6488	5	0.8848	-28.031
115	6488	5	0.9177	-0.000
778	3217	5	0.9186	-0.000
1167	3217	5	0.9246	-0.000
685	3217	5	0.935	-0.000
177	2616	5	0.8394	14.016
3551	7373	5	0.9153	0.000
2616	6488	5	0.9081	-14.016
1167	3551	5	0.8761	28.031
778	1167	5	0.9644	0.000
503	1167	5	0.9246	0.000
503	3217	5	1.0	-0.000
177	328	5	0.9452	0.000
503	536	5	1.0	-0.000
1116	3551	5	0.8999	-28.031
2994	7373	5	0.8961	-28.031
1082	1116	5	0.8625	26.016
115	7373	5	0.9947	-0.000
3297	7373	5	0.9851	0.000
1052	7505	5	0.9079	-28.031
1167	6488	5	0.8761	28.031
685	1167	5	0.9452	0.000
2994	7505	5	1.0	0.000
115	3551	5	0.9177	-0.000
536	685	5	0.935	0.000
1037	1052	5	0.8649	-28.031
7373	7505	5	0.8961	28.031
2994	3551	5	0.8848	-28.032
778	3551	5	0.8675	28.031
2994	3297	5	0.8893	-28.031
685	3297	5	0.8965	28.031
6488	7373	5	0.9153	0.000
115	3297	5	0.9851	-0.000
1082	2994	5	0.8395	26.016
2616	3551	5	0.9081	-14.016
778	7373	5	0.9083	28.031
503	685	5	0.935	0.000
1116	3297	5	0.917	-28.031
1167	7373	5	0.8884	28.031
3551	7505	5	0.8848	28.032
115	7505	5	0.9008	28.031
1116	7505	5	0.9497	0.000
536	3217	5	1.0	-0.000
115	685	5	0.895	-28.032
1052	1116	5	0.887	-28.031
3297	6488	5	0.9069	-0.000
2616	2994	5	0.887	14.016
115	1116	5	0.9268	28.031
1082	7505	5	0.8395	26.016
1116	6488	5	0.8999	-28.031
1116	2994	5	0.9497	0.000
1082	1971	5	0.884	-280.240
778	3297	5	0.907	28.031
778	6488	5	0.8675	28.031
685	7373	5	0.8918	28.031
3297	7505	5	0.8893	28.031
685	778	5	0.9516	0.000
1052	2616	5	0.8793	-42.047
2516	9274	6	0.7339	93.061
2444	7454	6	0.7276	93.066
7454	9274	6	1.0	-0.005
2020	4800	6	0.9464	0.002
1126	7454	6	0.9588	0.007
2490	4800	6	0.8946	-18.010
4800	6489	6	0.933	-0.002
2444	6583	6	0.8784	24.000
4800	6505	6	0.9203	2.013
2516	7454	6	0.7339	93.066
2490	6700	6	0.8322	-37.980
2490	6505	6	0.8642	-15.997
2516	6489	6	0.8696	-2.016
2444	6700	6	0.8401	-21.985
6505	6700	6	0.8469	-21.983
2444	6489	6	0.8637	-2.016
2020	2516	6	0.9044	2.016
2020	6489	6	0.9287	-0.000
6505	6583	6	0.892	24.001
2020	2444	6	0.9022	2.016
6489	6583	6	0.9027	26.016
4800	6700	6	0.8694	-19.971
6489	6700	6	0.863	-19.969
2444	2516	6	0.9037	0.000
2516	4800	6	0.9053	-2.014
6583	6700	6	0.8426	-45.985
2444	2490	6	0.8517	15.995
2490	6489	6	0.8663	-18.012
2020	6505	6	0.9203	2.014
2444	9274	6	0.7276	93.061
2020	6700	6	0.8634	-19.969
2020	6583	6	0.909	26.016
2516	6700	6	0.8424	-21.985
2444	4800	6	0.9091	-2.014
4800	6583	6	0.9116	26.014
2490	2516	6	0.8808	-15.995
2020	2490	6	0.8798	18.011
2516	6505	6	0.892	-0.002
2516	6583	6	0.8859	24.000
2490	6583	6	0.8611	8.004
1126	9274	6	0.9588	0.002
6489	6505	6	0.9151	2.015
2444	6505	6	0.8744	-0.002
9029	10052	9	0.9828	44.012
10072	10114	9	0.9848	-44.023
5893	5915	9	0.9821	-132.076
10170	10258	9	0.983	-44.020
5860	5871	9	0.9873	44.027
5915	9173	9	0.9789	-132.067
10041	11552	9	0.9821	-132.077
9029	10072	9	0.9816	-44.038
10185	11519	9	0.9756	44.026
9173	11512	9	0.9821	88.047
10114	11927	9	0.969	44.025
9056	10185	9	0.9672	-88.054
5893	10120	9	0.9779	0.003
9100	10052	9	0.9717	132.075
10052	11927	9	0.9806	-88.049
5915	11623	9	0.9793	-132.070
5871	9102	9	0.9792	-176.096
5860	9173	9	0.9786	-176.091
11512	11545	9	0.9893	-44.027
10258	11623	9	0.9833	0.001
11512	11623	9	0.9841	-88.050
10052	10114	9	0.9704	-132.073
9102	11545	9	0.9868	-0.002
9029	10185	9	0.9624	-132.091
5860	10109	9	0.9842	-88.051
9056	10114	9	0.9826	-44.024
9173	11545	9	0.9872	44.020
5860	11512	9	0.9851	-88.044
10120	11509	9	0.9904	-0.001
5891	10041	9	0.9714	-0.004
9029	10041	9	0.9839	-0.013
10170	11512	9	0.9845	44.031
10041	10114	9	0.9839	-88.048
10054	11509	9	0.9788	44.016
10258	11545	9	0.986	44.024
10114	11552	9	0.9808	-44.028
10109	10258	9	0.9821	-88.044
9056	11927	9	0.9769	0.001
5915	10109	9	0.9851	-44.027
