,InChIKey
0,InChIKey=XXXXXXXXXXXXXX-XXXXXXXXXX-X
1,InChIKey=QAOOAZRWKHFUHK-IEOSBIPESA-N
2,InChIKey=CECCXTMBNNHANG-ZJIFWQFVSA-N
3,InChIKey=XXXXXXXXXXXXXX-XXXXXXXXXX-X
4,InChIKey=PHARQEHVJVOTOL-MBCLPVOKSA-N
5,InChIKey=PXJCCYYXAUUXRF-GGJINPDOSA-N
6,InChIKey=TTZBCLRAHANIFC-LFJSVAKUSA-N
7,InChIKey=ANPHLQXCHVRCDX-YZCATWHDSA-N
8,InChIKey=MRLCHAMQFJNEFK-GXSPPABGSA-N
9,InChIKey=XXXXXXXXXXXXXX-XXXXXXXXXX-X
10,InChIKey=VDBNYAPERZTOOF-UHFFFAOYSA-N
11,InChIKey=XXXXXXXXXXXXXX-XXXXXXXXXX-X
12,InChIKey=OEECLXWCHUIMAU-QDWRAYMQSA-N
13,InChIKey=VDSCKSOYNLTQSY-XQNSMLJCSA-N
14,InChIKey=FTUCJLKRCLNNPB-XESDGVIESA-N
15,InChIKey=DUUKZBGYNMHUHO-UHFFFAOYSA-N
16,InChIKey=WWAMLGNSINNDPI-NDGCQPAQSA-N
17,InChIKey=TZIQGXRIFCNVHM-OWAUYRPESA-N
18,InChIKey=DFNXUPWTNVNPER-BXOFZLJISA-N
19,InChIKey=XXXXXXXXXXXXXX-XXXXXXXXXX-X
20,InChIKey=KFROHBBVEXISDY-VPZGYXPTSA-N
21,InChIKey=XXXXXXXXXXXXXX-XXXXXXXXXX-X
22,InChIKey=GAPOVTCESQJLFA-JUBSNLHESA-N
23,InChIKey=SKUYODQAHZTUFS-LBFZIJHGSA-N
24,InChIKey=IZCWSRIIMBIBGB-MASCHLQQSA-N
25,InChIKey=AQZJZMMXWUPXJT-FMJZPMBPSA-N
26,InChIKey=ZBKSDVGXOOCETO-LDLOPFEMSA-N
27,InChIKey=ZORWFQRPLWATCP-VWCIAXEKSA-N
28,InChIKey=XXXXXXXXXXXXXX-XXXXXXXXXX-X
29,InChIKey=RNTGUHMITCHHFW-AWEZNQCLSA-N
30,InChIKey=CKIBGMLEHSJFPK-UVMTYNCGSA-N
