,InChIKey
0,InChIKey=XDUSXHYCZFYPIH-DQEYMECFSA-O
1,InChIKey=KRMDCWKBEZIMAB-UHFFFAOYSA-N
2,InChIKey=YUNFAEOCZPDOJO-SSEXGKCCSA-N
3,InChIKey=WIMRYHOZLBQVIW-UHFFFAOYSA-N
4,InChIKey=HTBFIIXAMRRHQF-ZHACJKMWSA-N
5,InChIKey=KGZWTNDOOGQTTQ-LTGZKZEYSA-O
6,InChIKey=OFEXMTJNUNHHCF-PEZBUJJGSA-N
7,InChIKey=DOAGODDTIWSDMB-HNNXBMFYSA-O
8,InChIKey=LFVHVVWRGMVCMW-LEWJYISDSA-M
9,InChIKey=GGPUGRKXLFANGD-ZCXUNETKSA-N
10,InChIKey=IDLUMGMMMVTISV-WBVITSLISA-N
11,InChIKey=XJXBCJLZWKPOFG-JOOMPNRTSA-N
12,InChIKey=ZZIXRMBDZWPXHE-UHFFFAOYSA-N
13,InChIKey=HFJVKBVEKQHVTO-XZOQPEGZSA-N
14,InChIKey=NZNSTOHSZZLSNP-UHFFFAOYSA-N
15,InChIKey=NXHMEBLQOJHRPK-UHFFFAOYSA-N
16,InChIKey=GYCZCCHABRSISQ-HJOGWXRNSA-O
17,InChIKey=NOAZBBMBSWNICG-PYOQXWFLSA-N
18,InChIKey=YXXJZDHHJXYRMR-XPQXMPOESA-N
19,InChIKey=AIXNJADSSZEICA-WLQIYCTRSA-N
20,InChIKey=XRKSCJLQKGLSKU-LLVKDONJSA-N
21,InChIKey=RVPVXPRFEDWZHO-VWHMHDPVSA-N
22,InChIKey=GHYAYTGAKNEIQI-NCXUSEDFSA-O
23,InChIKey=ALQBITZRRLIXDV-UHFFFAOYSA-N
24,InChIKey=PEBYLDKPVXXCJK-UHFFFAOYSA-N
25,InChIKey=OLHPIHADOUWWTO-FWBDCHAOSA-N
26,InChIKey=PEOSAILNPMHKKM-HPSASERISA-N
27,InChIKey=DOAKLVKFURWEDJ-UHFFFAOYSA-N
28,InChIKey=NIAYGGCQOYIHAF-JVQYHYCXSA-N
29,InChIKey=IGJDKOMBBXSAPT-UWVAXJGDSA-N
30,InChIKey=RPTXZNCNMRCJHE-UHFFFAOYSA-N
31,InChIKey=FWBMVKAALUUDMW-SREHDYERSA-N
32,InChIKey=YXOZCEQVMZPWOG-UHFFFAOYSA-N
33,InChIKey=SKADEWVNQSRPEJ-UHFFFAOYSA-N
34,InChIKey=WQUGODXHDAKAMW-NBNLIBPQSA-L
