CLUSTERID1	interaction	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation	shared_motifs	TopSharedMotifs
7637	cosine	8218	-71.039	7637.0	0.7084	7637.0	1	 	['motif_119']	['motif_119']
8220	cosine	8228	-2.015	8220.0	0.8365	8220.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
4949	cosine	5638	-52.031000000000006	4949.0	0.8846	4949.0	3	 	['motif_83', 'motif_14', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8150	cosine	8163	-2.0140000000000002	8150.0	0.8913	8150.0	3	 	['motif_83', 'motif_113', 'motif_53', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5376	cosine	5536	-14.043	5376.0	0.887	5376.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8251	cosine	8263	-1.004	8251.0	0.8271	8251.0	3	 	['motif_93']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7911	cosine	7996	-13.979000000000001	7911.0	0.9008	7911.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7829	cosine	7940	-13.048	7829.0	0.8695	7829.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7964	cosine	7969	-2.011	7964.0	0.8481	7964.0	3	 	['motif_53', 'motif_104', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7650	cosine	8006	-40.001	7650.0	0.9187	7650.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5611	cosine	5923	-23.999000000000002	5611.0	0.8945	5611.0	3	 	['motif_83', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7488	cosine	7650	-12.03	7488.0	0.8973	7488.0	3	 	['motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7576	cosine	7871	-26.041	7576.0	0.862	7576.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8228	cosine	8371	-26.018	8228.0	0.8216	8228.0	3	 	['motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7218	cosine	7222	-0.002	7218.0	0.8989	7218.0	3	 	['motif_83', 'motif_73']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8236	cosine	8251	-2.017	8236.0	0.8624	8236.0	3	 	['motif_93']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8177	cosine	8189	-2.01	8177.0	0.8654	8177.0	3	 	['motif_93', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8006	cosine	8025	-1.003	8006.0	0.9475	8006.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5587	cosine	5612	-2.016	5587.0	0.8228	5587.0	3	 	['motif_83', 'motif_14', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5612	cosine	5937	-26.015	5612.0	0.8477	5612.0	3	 	['motif_53', 'motif_14', 'motif_83', 'motif_93', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
4949	cosine	5376	-28.034000000000002	4949.0	0.8754	4949.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7911	cosine	7939	-3.0269999999999997	7911.0	0.8894	7911.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5376	cosine	5656	-26.016	5376.0	0.9037	5376.0	3	 	['motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7559	cosine	7871	-28.03	7559.0	0.8935	7559.0	3	 	['motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7871	cosine	8088	-28.033	7871.0	0.8657	7871.0	3	 	['motif_53', 'motif_104', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7598	cosine	7783	-15.995	7598.0	0.9062	7598.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5376	cosine	5655	-26.013	5376.0	0.9095	5376.0	3	 	['motif_83', 'motif_14']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7559	cosine	7739	-15.995999999999999	7559.0	0.9069	7559.0	3	 	['motif_83', 'motif_12', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5121	cosine	5824	-52.037	5121.0	0.8597	5121.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7849	cosine	7969	-15.995999999999999	7849.0	0.8491	7849.0	3	 	['motif_53', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5744	cosine	5975	-24.014	5744.0	0.8679	5744.0	3	 	['motif_93', 'motif_14', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8088	cosine	8112	-2.015	8088.0	0.8689	8088.0	3	 	['motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8228	cosine	8230	-1.003	8228.0	0.8447	8228.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
