CLUSTERID1	interaction	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	MEH	OtherScore	shared_motifs	TopSharedMotifs
632	cosine	2706	1.0	0.9542	0.0	0.0	0.0	['motif_98', 'motif_54']	['motif_98', 'motif_54']
704	cosine	4778	2.0	0.9458	-0.0	0.0	0.0	['motif_94']	['motif_94', 'motif_178', 'motif_260', 'motif_289', 'motif_98']
704	cosine	6480	2.0	0.9315	-0.001	0.0	0.0	['motif_178', 'motif_260', 'motif_94']	['motif_94', 'motif_178', 'motif_260', 'motif_289', 'motif_98']
6480	cosine	7674	2.0	0.9171	-0.0	0.0	0.0	['motif_178', 'motif_260']	['motif_94', 'motif_178', 'motif_260', 'motif_289', 'motif_98']
704	cosine	2760	2.0	1.0	0.0	0.0	0.0	['motif_289', 'motif_178', 'motif_260', 'motif_94']	['motif_94', 'motif_178', 'motif_260', 'motif_289', 'motif_98']
4778	cosine	6480	2.0	0.9361	-0.001	0.0	0.0	['motif_94']	['motif_94', 'motif_178', 'motif_260', 'motif_289', 'motif_98']
2760	cosine	6480	2.0	0.9315	-0.001	0.0	0.0	['motif_178', 'motif_260', 'motif_94']	['motif_94', 'motif_178', 'motif_260', 'motif_289', 'motif_98']
2760	cosine	4778	2.0	0.9458	-0.0	0.0	0.0	['motif_94']	['motif_94', 'motif_178', 'motif_260', 'motif_289', 'motif_98']
3540	cosine	6480	2.0	0.9145	0.0	0.0	0.0	['motif_98', 'motif_94']	['motif_94', 'motif_178', 'motif_260', 'motif_289', 'motif_98']
3551	cosine	6488	5.0	1.0	0.0	0.0	0.0	['motif_82', 'motif_123', 'motif_159', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
115	cosine	1167	5.0	0.8916	-28.031999999999996	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1116	cosine	7373	5.0	0.9225	-28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1052	cosine	2994	5.0	0.9079	-28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294', 'motif_13']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
3297	cosine	3551	5.0	0.9069	-0.0	0.0	0.0	['motif_82', 'motif_78', 'motif_294', 'motif_123']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
115	cosine	778	5.0	0.9124	-28.031999999999996	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
6488	cosine	7505	5.0	0.8848	28.031	0.0	0.0	['motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1971	cosine	7671	5.0	0.8336	280.24	0.0	0.0	['motif_104', 'motif_152', 'motif_13']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
503	cosine	778	5.0	0.9186	0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
115	cosine	2994	5.0	0.9008	28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1167	cosine	3297	5.0	0.8815	28.031	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
536	cosine	1167	5.0	0.9246	0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1082	cosine	7671	5.0	0.8776	0.0	0.0	0.0	['motif_245', 'motif_95', 'motif_104', 'motif_294', 'motif_152']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
536	cosine	778	5.0	0.9186	0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
2616	cosine	7505	5.0	0.887	14.015999999999998	0.0	0.0	['motif_104', 'motif_78', 'motif_294', 'motif_13']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1116	cosine	2616	5.0	0.8763	-14.015999999999998	0.0	0.0	['motif_104', 'motif_78', 'motif_294', 'motif_13']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
328	cosine	7671	5.0	0.8143	2.016	0.0	0.0	['motif_104', 'motif_245', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
2994	cosine	6488	5.0	0.8848	-28.031	0.0	0.0	['motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
115	cosine	6488	5.0	0.9177	-0.0	0.0	0.0	['motif_82', 'motif_78', 'motif_294', 'motif_123']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
778	cosine	3217	5.0	0.9186	-0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1167	cosine	3217	5.0	0.9246	-0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
685	cosine	3217	5.0	0.935	-0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
177	cosine	2616	5.0	0.8394	14.015999999999998	0.0	0.0	['motif_82', 'motif_104', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
3551	cosine	7373	5.0	0.9153	0.0	0.0	0.0	['motif_82', 'motif_78', 'motif_294', 'motif_123']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
2616	cosine	6488	5.0	0.9081	-14.015999999999998	0.0	0.0	['motif_82', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1167	cosine	3551	5.0	0.8761	28.031	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
778	cosine	1167	5.0	0.9644	0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
503	cosine	1167	5.0	0.9246	0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
503	cosine	3217	5.0	1.0	-0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205', 'motif_185']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
177	cosine	328	5.0	0.9452	0.0	0.0	0.0	['motif_245', 'motif_82', 'motif_123', 'motif_159', 'motif_78', 'motif_104', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
503	cosine	536	5.0	1.0	-0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205', 'motif_185']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1116	cosine	3551	5.0	0.8999	-28.031	0.0	0.0	['motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
2994	cosine	7373	5.0	0.8961	-28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1082	cosine	1116	5.0	0.8625	26.016	0.0	0.0	['motif_104', 'motif_29', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
115	cosine	7373	5.0	0.9947	-0.0	0.0	0.0	['motif_82', 'motif_123', 'motif_150', 'motif_78', 'motif_104', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
3297	cosine	7373	5.0	0.9851	0.0	0.0	0.0	['motif_82', 'motif_123', 'motif_150', 'motif_78', 'motif_104', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1052	cosine	7505	5.0	0.9079	-28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294', 'motif_13']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1167	cosine	6488	5.0	0.8761	28.031	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
685	cosine	1167	5.0	0.9452	0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
2994	cosine	7505	5.0	1.0	0.0	0.0	0.0	['motif_29', 'motif_78', 'motif_13', 'motif_104', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
115	cosine	3551	5.0	0.9177	-0.0	0.0	0.0	['motif_82', 'motif_78', 'motif_294', 'motif_123']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
536	cosine	685	5.0	0.935	0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1037	cosine	1052	5.0	0.8649	-28.031	0.0	0.0	['motif_118', 'motif_78', 'motif_13', 'motif_104', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
7373	cosine	7505	5.0	0.8961	28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
2994	cosine	3551	5.0	0.8848	-28.031999999999996	0.0	0.0	['motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
778	cosine	3551	5.0	0.8675	28.031	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
2994	cosine	3297	5.0	0.8893	-28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
685	cosine	3297	5.0	0.8965	28.031	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
6488	cosine	7373	5.0	0.9153	0.0	0.0	0.0	['motif_82', 'motif_78', 'motif_294', 'motif_123']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
115	cosine	3297	5.0	0.9851	-0.0	0.0	0.0	['motif_82', 'motif_123', 'motif_150', 'motif_78', 'motif_104', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1082	cosine	2994	5.0	0.8395	26.016	0.0	0.0	['motif_104', 'motif_29', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
2616	cosine	3551	5.0	0.9081	-14.015999999999998	0.0	0.0	['motif_82', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
778	cosine	7373	5.0	0.9083	28.031	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
503	cosine	685	5.0	0.935	0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1116	cosine	3297	5.0	0.917	-28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1167	cosine	7373	5.0	0.8884	28.031	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
3551	cosine	7505	5.0	0.8848	28.031999999999996	0.0	0.0	['motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
115	cosine	7505	5.0	0.9008	28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1116	cosine	7505	5.0	0.9497	0.0	0.0	0.0	['motif_29', 'motif_78', 'motif_13', 'motif_104', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
536	cosine	3217	5.0	1.0	-0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205', 'motif_185']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
115	cosine	685	5.0	0.895	-28.031999999999996	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1052	cosine	1116	5.0	0.887	-28.031	0.0	0.0	['motif_118', 'motif_78', 'motif_13', 'motif_104', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
3297	cosine	6488	5.0	0.9069	-0.0	0.0	0.0	['motif_82', 'motif_78', 'motif_294', 'motif_123']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
2616	cosine	2994	5.0	0.887	14.015999999999998	0.0	0.0	['motif_104', 'motif_78', 'motif_294', 'motif_13']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
115	cosine	1116	5.0	0.9268	28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1082	cosine	7505	5.0	0.8395	26.016	0.0	0.0	['motif_104', 'motif_29', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1116	cosine	6488	5.0	0.8999	-28.031	0.0	0.0	['motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1116	cosine	2994	5.0	0.9497	0.0	0.0	0.0	['motif_29', 'motif_78', 'motif_13', 'motif_104', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1082	cosine	1971	5.0	0.884	-280.24	0.0	0.0	['motif_104', 'motif_78', 'motif_152']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
778	cosine	3297	5.0	0.907	28.031	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
778	cosine	6488	5.0	0.8675	28.031	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
685	cosine	7373	5.0	0.8918	28.031	0.0	0.0	['motif_123', 'motif_78']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
3297	cosine	7505	5.0	0.8893	28.031	0.0	0.0	['motif_104', 'motif_78', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
685	cosine	778	5.0	0.9516	0.0	0.0	0.0	['motif_56', 'motif_245', 'motif_123', 'motif_78', 'motif_13', 'motif_205']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
1052	cosine	2616	5.0	0.8793	-42.047	0.0	0.0	['motif_82', 'motif_78', 'motif_13', 'motif_104', 'motif_294']	['motif_78', 'motif_294', 'motif_123', 'motif_104', 'motif_13']
2516	cosine	9274	6.0	0.7339	93.061	0.0	0.0	None	['motif_131', 'motif_72', 'motif_13']
2444	cosine	7454	6.0	0.7276	93.066	0.0	0.0	None	['motif_131', 'motif_72', 'motif_13']
7454	cosine	9274	6.0	1.0	-0.005	0.0	0.0	None	['motif_131', 'motif_72', 'motif_13']
2020	cosine	4800	6.0	0.9464	0.002	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
1126	cosine	7454	6.0	0.9588	0.006999999999999999	0.0	0.0	None	['motif_131', 'motif_72', 'motif_13']
2490	cosine	4800	6.0	0.8946	-18.01	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
4800	cosine	6489	6.0	0.9329999999999999	-0.002	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2444	cosine	6583	6.0	0.8784	24.0	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
4800	cosine	6505	6.0	0.9203	2.013	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2516	cosine	7454	6.0	0.7339	93.066	0.0	0.0	None	['motif_131', 'motif_72', 'motif_13']
2490	cosine	6700	6.0	0.8322	-37.98	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2490	cosine	6505	6.0	0.8642	-15.997	0.0	0.0	['motif_131', 'motif_72', 'motif_13']	['motif_131', 'motif_72', 'motif_13']
