,SMILES
0,C[C@H](c1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1CCN(CC1)C(=O)[C@H](CC(C)C)[NH3+]
1,c12c(c(c(c(c1C)C)O)C)CC[C@](O2)(CCC[C@@H](CCC[C@@H](CCCC(=C)C)C)C)C
2,CC(C)c1ccc(cc1)NC(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC
3,C[C@]12CCC[C@]([C@@H]1CCC(=C)[C@@H]2CCc1ccoc1C[NH+]1CCCCCC1)(C)C(=O)OC
4,[H][C@@](O)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC
5,CCCCCCCCCCCCCCCCCCCCCC(=N[C@@H](CO)[C@@H](CCCCCCCCCCC(C)CC)O)O
6,CCCCCCCCCCCCCCC\C=C\C=C/C(=O)N1CCCCC1
7,[C@@]12([C@@H]([C@@H]3[C@H]([C@@]4(C(=CC3)C[C@H](CC4)O)C)CC2)CC[C@@H]1[C@@H](C(=O)CC[C@H](CO)C)C)C
8,O[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1CO)O[C@@H]1[C@H](CO[C@@H]([C@H]1O)O[C@@H]1CC[C@]2([C@@H]3CC=C4[C@H]5CC(CC[C@]5(CC[C@]4([C@@]3(CC[C@@H]2C1(C)C)C)C)C(=O)O)(C)C)C)O)O)O
9,CC1=CC[C@@H]2C[C@H]1[C@@H](OC2)C[N+]1(CCCCC1)Cc1ccccc1
10,c1ccc2c(c1)ccnc2O
11,COc1ccc(cc1[N+](=O)[O-])C(=O)CSc1nc2ccccc2o1
12,C[C@]12CC[C@@H](CC1=CC[C@H]1[C@@H]3CC[C@@H]([C@@]3(C)CC[C@H]21)O)OC1CCCCO1
13,C123C(OC(C3CCC=C1C(=O)c1c(O2)c(c2c(c1O)C=CC(O2)(CCC=C(C)C)C)CC=C(C)C)(C)C)(C(=O)O)C/C=C(/C(=O)O)\C
14,[C@@]123[C@]4(C2)[C@H](C([C@H](CC4)O[C@H]2[C@@H]([C@H]([C@H](CO2)O)O)O)(C)C)CC=C1[C@]1([C@](CC3)([C@@H]2[C@]([C@@H]1O)(O[C@H](C[C@H]2C)[C@@H](C(O)(C)C)OC(=O)C)O)C)C
15,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COCC(O)CO
16,C[C@H](CCC[C@H](C)C(=O)O)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](CC[C@]4(C)[C@H]3CC[C@]12C)O
17,[C@@]12([C@@H](O2)[C@@H](CC([C@H]1CC/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C(=O)C[C@]1(C(C[C@@H](CC1=C)O)(C)C)O)\C)\C)/C)/C)(C)C)O)C
18,[C@]12([C@@H]3[C@H](C[C@H]1[C@H]1[C@H](CC2)[C@@]2(C(=CC1)C[C@H](CC2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)C)O[C@]1([C@H]3C)OCC(=C)CC1)C
19,CC[C@@H]1[C@H](/C=C/C=C/C(=O)[C@H](C)C[C@H](C)[C@@H]([C@@H](C)/C=C/C(=O)O1)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)[NH+](C)C)O)CO[C@H]1[C@@H]([C@@H]([C@@H]([C@@H](C)O1)O)O)OC
20,[C@@]12(C3=CC[C@@](C[C@H]3[C@@H](C[C@@H]1C(=C)C[C@H]([C@@H](C2)OC(=O)C)OC(=O)CCCCCCCCCCCCCCC)O)([C@H](CO)Br)C)C
21,C1CC[N@@H+]2CCC[C@H]([C@H]2C1)COS(=O)(=O)[O-]
22,[C@H]([C@@H](CO)N)(CCC/C=C\CCCCCC)O
23,[C@H]([C@@H](CCCCCCCCCCCCCCC)O)(NC(=O)[C@@H](CCCCCCCCCCCCCCC)O)CO
24,N12[C@H](C(=O)N[C@@H](C(=O)N3[C@H](C(=O)O[C@H](C(=O)N[C@@H](C1=O)Cc1ccccc1)C(C)C)CCC3)Cc1ccccc1)CCC2
25,[C@H]([C@@](CC/C=C(/CCC=C(C)C)\C)(O)C)(O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)CC[C@@H]([C@](CC/C=C(/CCCC(O)(C)C)\C)(O)C)OC(=O)C
26,[H]OP(=O)(OC([H])([H])C([H])([H])N([H])[H])OC([H])([H])[C@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
27,[C@@]12([C@H](C1)C[C@H]([C@@]2(CC/C=C(\CO)/C)C)CC)C
