VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES	FDR
spectra-00000_PSM_0_JKUF5ZRUHU	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1240	8114	1744	Trichodepsipeptide_B_Trichodepsipeptide_B	9	1.2e-15	674.389	799.455	219.489	M+H	1	CC(C)CC1C(=O)NC(C(C)C)C(=O)NC(CO)C(=O)OC(C(C)C)C(=O)OC(CC(C)C)C(=O)NC(Cc2ccccc2)C(=O)N1C	0.00
spectra-00000_PSM_1_M17F0EPZMT	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1084	7282	3791	Phakellistatin_13	9	3.0e-15	798.406	712.423	217.983	M+H	1	N12C(=O)C(NC(=O)C(NC(=O)[C@@H](NC(=O)[C@H]3N(C(=O)CNC(=O)[C@@H](NC(=O)[C@@H]1CCC2)Cc1ccccc1)CCC3)C(O)C)CC(C)C)Cc1c[nH]c2c1cccc2	0.00
spectra-00000_PSM_2_XSDCMI65XE	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1335	8569	746	Citrusin_VIII_Citrusin_VIII	12	1.9e-14	821.48	874.482	281.888	M+H	1	CCC(C)C1C(=O)NC(C)C(=O)NC(C)C(=O)NCC(=O)NC(CC(C)C)C(=O)N2CCCC2C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(C)C)C(=O)N1	0.00
spectra-00000_PSM_3_JYE6KGAFDY	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	443	4364	3764	Ngercheumicin_B	9	3.9e-14	840.557	426.798	231.517	M+2H	2	N1[C@@H](C(=O)NC(C(=O)NC(C(=O)O[C@H]([C@H](C(=O)NC(C1=O)CO)NC(=O)C(NC(=O)CC(O)CCCCCCCCC)C(C(C)C)C)C)CC(C)C)CC(C)C)[C@H](O)C	0.00
spectra-00000_PSM_4_FK0PNRDGCN	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1208	7995	1295	Petriellin_A_Petriellin_A	16	7.1e-14	1430.88	785.433	265.173	M+2H	2	CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C)C(=O)N2CCCC2C(=O)N(C)C(C(C)O)C(=O)NC(C(C)C)C(=O)N(C)C(C(C)O)C(=O)N(C)C(C(C)C)C(=O)N(C)C(C(C)CC)C(=O)N2CCCCC2C(=O)OC(Cc2ccccc2)C(=O)N(C)C(C(C)C)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_5_DN0CM7MWCL	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	470	4506	2614	Microcystin_7-(N-Methyl-L-serine)_analogue	12	8.2e-14	1012.56	435.239	166.048	M+2H	2	CC(C)CC1C(=O)NC(C(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C=CC(=CC(C)C(Cc2ccccc2)OC)C)C(C)C(=O)NC(CCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)N1)C(=O)O)C(=O)O	0.00
spectra-00000_PSM_6_AK91UMPBD6	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1362	8692	1090	Microcystin_Microcystin_LAba	9	9.4e-14	923.5	901.522	257.868	M+H	1	CC(C)CC1C(=O)NC(C(C)C(=O)NC(C)(C)C(=O)NC(C=CC(=CC(C)C(Cc2ccccc2)OC)C)C(C)C(=O)NC(CCC(=O)N(C)C(=C)C(=O)NC(C)C(=O)N1)C(=O)O)C(=O)O	0.00
spectra-00000_PSM_8_LOGQUHRSOB	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1030	7086	2925	Pseudomycin_C_Pseudomycin_C	12	2.9e-13	1236.6	683.337	178.905	M+2H	2	CCCCCCCCCCCCC(C(CC(=O)NC1COC(=O)C(C(CCl)O)NC(=O)C(C(C(=O)O)O)NC(=O)C(=CC)NC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCCN)NC(=O)C(CC(=O)O)NC(=O)C(CCN)NC1=O)O)O	0.00
spectra-00000_PSM_9_TUFPPAJO8A	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1240	8114	2999	Omphalotin_B_53-Ac	14	5.0e-13	1523.92	799.455	219.489	M+2H	2	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C(C)C)C(=O)N(C)CC(=O)N(C)C(C(=O)N(C)C(C(C)C(C)OC(=O)CC(C)(C)O)C(=O)N(C)C(C(=O)NC(C(C)C)C(=O)N(C)C(C(C)CC)C(=O)N(C)CC(=O)N2C(CC3(c4ccccc4NC23)O)C(=O)N(C)C(C(C)C)C(=O)N1)OC(=O)C)C(C)(C)O	0.00
spectra-00000_PSM_10_3HBO967X6J	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1056	7197	125	Amphisin_Amphisin	12	1.2e-12	1394.83	700.423	258.29	M+2H	2	CCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC1C(C)OC(=O)CC(C(=O)O)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CCC(=N)O)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC1=O)O	0.00
spectra-00000_PSM_11_A7HMT7X0R0	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	717	5827	2078	Wewakazole_Wewakazole	19	1.3e-12	1140.54	534.796	160.378	M+2H	2	CCC(C)C1c2nc(co2)C(=O)NC(C)C(=O)N2CCCC2C(=O)N2CCCC2C(=O)NCC(=O)NC(C(C)C)c2nc(c(C)o2)C(=O)NC(Cc2ccccc2)c2nc(co2)C(=O)NC(Cc2ccccc2)C(=O)N2CCCC2C(=O)N1	0.00
spectra-00000_PSM_12_1MVU8IGIZU	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	979	6911	1729	Verrucamides_Verrucamide_B	15	1.5e-12	1400.83	658.352	277.847	M+2H	2	CCC(C)C1C(=O)N(C)C(CO)C(=O)N(C)C(C(C)C)C(=O)NC(CO)C(=O)NC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)NCC(=O)NC(C(C)C)C(=O)N(C)C(C(C)O)C(=O)NC(C(C)C)C(=O)N(C)C(C(C)O)C(=O)NC(C(C)C)C(=O)N(C)C(C)C(=O)NCC(=O)N1	0.00
spectra-00000_PSM_13_S6YXM9QJ15	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	502	4681	1749	Talaromin_A_Talaromin_A	9	1.6e-12	763.39	448.229	184.841	M+2H	2	CCC(C)C1C(=O)N2CCCC2C(=O)Nc2ccccc2C(=O)NC(C(C)C)C(=O)NC(Cc2ccc(cc2)O)C(=O)NC(C(C)O)C(=O)NC(C)C(=O)N1	0.00
spectra-00000_PSM_14_LFODVACRDT	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	667	5581	3073	B_12489_B_12489C	12	2.7e-12	1114.64	514.79	206.801	M+2H	2	CC=C1C(=O)NC(CC(C)C)C(=O)NC(CN)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(=O)O)C(=O)OC(CCCC(C)C)CC(=O)NC(CN)C(=O)NC(Cc2ccccc2)C(=O)NC(CCN)C(=O)N1)C(C)(C)O	0.00
spectra-00000_PSM_15_JAEA2TH75B	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	622	5408	3939	Epidermidin	13	2.8e-12	1099.56	500.779	214.853	M+2H	2	N1C(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C1=O)CC(C)C)CO)CCC(=O)O)CC(=O)O)C)CCCN)CCCNC(=N)N)C(C)C)C(O)C	0.00
spectra-00000_PSM_16_JS2H12UEJJ	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	831	6316	650	GameXPeptide_C_GameXPeptide_C	6	4.2e-12	551.405	570.421	268.605	M+H	1	CC(C)CC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)N1	16.67
spectra-00000_PSM_17_4YT3DBJNXW	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	483	4594	3894	Microphycin_AL828	12	6.3e-12	828.438	439.224	167.243	M+2H	2	N12C(=O)[C@@H](NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)C(NC(=O)[C@@H](NC(=O)[C@@H]1CCC2)CCC(=O)O)[C@H](CC)C)C(C)C)Cc1ccc(cc1)O)CC(C)C	0.00
